Exercises – F3 New Orleans,
Name,Description
1st & 10,"100 yard field marked at 10 yard increments. Perform 10 Merkins, 1 Burpee (11’s) at the 10, sprint the remaining 90 yards. Recover jog back to the 20. Perform 9 Merkins, 2 Burpees, sprint the remaining 80 yards, recover jog to the 30. Repeat until all 100 yards and 11’s have been completed. Plank/core exercise until remaining PAX complete."
4 x 4s,"Start with arms raised in a standing position, burpee into plank followed by four Merkins followed by four mountain climbers with each leg. ""One"" is completed when returning to the standing position with arms raised. Wash, rinse, repeat. Recommended to do OYO while waiting for the 6 or waiting for a partner during a group exercise."
Abyss Merkin,"Perform merkins on two parallel benches, right hand and foot on one bench, and left hand and foot on the other bench, letting your body lower into the space between the benches as far a possible. Works best if done slowly, holding at the lowest point and imagining a bottomless abyss below you."
Alligator Merkin,"Walking Merkin. Alternate stepping hands forward on successive merkin reps. You know…like an alligator walks, but with merkins."
Angle Grinder,Starting in plank position angle your body up (pike position) while touching your hand to the opposite knee perform a merkin then touch the other knee and perform another merkin. This exercise is performed 8 count. 1. Touch knee 2. Return to plank 3. Down Merkin 4. Up Merkin 5. Touch opposite knee 6. Return To Plank 7. Down Merkin 8. Up Merkin
Ascending Testicles,Cousin of Balls to the Wall. Start with feet on wall in 15 degree descending Merkin (Derkin) position. Do 10 Derkins then walk feet up wall to 45 degree Derkin position. 10 more Derkins then walk feet up wall to full Balls to the Wall pose. Can add 10 more Derkins here if you're tough enough. Or hold in BTTW pose.
Bear Crawl Merkin,4ct exercise. Start in bear crawl. 3 count crawl with the 4th being the merkin. Hands should be staggered during merkin and if done correctly will result in each hand being staggered forward on opposing reps.
Berkins,"Doing merkins using bricks, best when including squats and jumpups."
Bill Murray,"Same as Sheldon Cooper, but instead of decreasing reps after each run, you do 10 merkins, 10 squats, 10 BBSU, and 10 burpees each time.<br /> After the 3rd or 4th round, one of the PAX said he felt like he was in 'Groundhog Day.' That is what led us to Bill Murray for the name."
Black Jack,"Start on the sideline of a football field. Perform 1 Merkin – run to other sideline – perform 20 LBCs. Run back and do 2 Merkins. Run back for 19 LBCs. Repeat until you do 20 Merkins and 1 LBC, running between the sidelines. Always adds up to 21 – BLACK JACK!"
Block Webbs,A #Jack Webb using a concrete block incline merkin & a block press instead of an air press.
Body Bag Builders,"This is a 10-count exercise. Perform 8-ct Body Builder but *insert 2-ct (right knee/left knee) Mountain Climber* after 2-ct Plank Jack but before 2-ct Merkin portion…'voila'…""8-ct Body Builder"" but worse; hence, the body bag reference."
Body Builders,"Essentially this is an 8 count Burpee, with a plank-jack added. (1) Squat down, (2) legs out, (3) down part of Merkin, (4) up part of Merkin, (5) out part of plank-jack, (6) in part of plank-jack, (7) feet to hands, and (8) stand up."
Booyah! Merkin,"In honor of the late great Stuart Scott, who no doubt would have been an F3 Dash pax, had F3 been in Winston-Salem decades ago. 2 pax plank facing each other perform merkin in unison and on up move reach out and tap right hand to partner's left shoulder, repeat merkin in unison with left hand tap to partner's shoulder to complete one rep. Each up move accompanied by a spirited BOOYAH!"
Breakdancer Merkin,"Begin in plank and perform the down part of a merkin. On the up, raise the right arm and come into a side plank, kicking your left leg in front of your body. Rotate back to plank and repeat on the other side. Can be done in (slow) cadence: 1) down; 2) right arm up, left leg through; 3) down; 4) left arm up, right leg through."
Burp & Groin,"Like the Burp & Merk, but do ascending Groiners 1-10 after the merkin part of the burpee."
Burp & Merk,"Begin a traditional burpee with a single push up at the bottom, then complete. Drop back down for a second burpee with two push ups, then complete. Pyramid up to 5 if your a girl or 10 if your a man, pyramid all the way back down to one if your an F3 Man!! Hooah!"
Carolina Dry Docks,"Modified push-up. Bend only your elbows, allowing body to drop head toward hands without lowering your six."
Catalina Wine Mixer,"Starting in plank position, go down onto each arm into a chilcutt. Last arm down becomes the first one to go back up into a plank. Then do a merkin. That's 1."
Cheerleader Merkin,"Needed: odd count of pax (example below is with 5 pax) and a raised surface (bench, bleacher, etc)<br /> 3 pax in plank side by side<br /> 2 pax on top (with feet on bench and hands on back of 2 pax below) to form pyramid <br /> 10 abyss merkins for pax on top and everyone rotates clockwise until rotation is complete"
CHerkin,"Like a merkin or carolina dry dock but you lower your body slowly to touch your forehead to the ground. ""CH"" refers to ""Cheeshead"". (Thanks Carrier in CLT Metro.)"
Chuck Norris Merkins,"AKA the ""Knerkin"".  A traditional Merkin but performed using the knuckles instead of the open hand."
Cindy Crawford,"Like Cindy (AMRAP 5 pull-ups, 10 merkins, and 15 squats) Plus 20 LBCs and 25 toe raises to get the full body bikini ready.  Complete 20 rounds in 30 minutes and you’re ready for the two piece!"
Clerkin,"A merkin with a clap, either OYO or with a partner."
