ID,Name,Description,Aliases
"exicon-1776742880487-0-50-500","0-50-500","<p><strong>Partner Field Progression</strong></p><ul><li><p>Partner up with each PAX starting on opposite goal lines of a football field.</p></li><li><p>One side is designated to start as runners, the other for the called exercise. Each partner will switch (run/exercise) throughout. </p></li></ul><p><strong>Round Flow:</strong></p><p>At “Go”, PAX runners run to the <strong>opposite 5-yard line</strong> (= 95 yards) while other side does called exercise. </p><ol><li><p>Once running partner arrives to stated yard line, he begins called exercise, while other partner then switches to run to opposite<strong> 5-yard line</strong> (also 95 yards).  When arrives, he calls his partner’s name to begin his next run while he then switches back to called exercise.</p></li><li><p>For the second “leg”, Pax runner then goes back to 1<strong>0-yard line</strong> on the opposite side, while the other partner is doing the exercise  </p></li><li><p>Continue this pattern, increasing by 5 yards each direction of the field, which will get shorter with every switch.  (15, 20, 25, etc.).</p></li><li><p>Continue until both partners meet at the <strong>50-yard line</strong> (500 total yards each).</p></li></ol><p><strong>Between Rounds:</strong></p><ul><li><p>Reset to goal lines and repeat. Can vary called exercise for each round or keep the same. Can do 5 -8 rounds in a workout.  </p></li><li><p>Add Mary between rounds as desired.</p></li></ul><p><em>Created by Anchorman out of F3 Twin Cities</em></p>",""
"exicon-1769380296822-1775","1775","<p>The 1775 is a three round workout with 17 burpees followed by 75 prayer squats followed by a run (distance can vary by AO). Complete at least 3 rounds.</p>",""
"exicon-1763503673168-1984","1984","Done to Van Halen’s Jump from the 1984 album. Pax will hold an air chair. Every time you hear “jump” you complete one jump squat. ",""
"exicon-1753308716998-1st-&-10","1st & 10","<p>100 yard field marked at 10 yard increments. Perform 10 @Merkin , 1 @Burpee (11's) at the 10, sprint the remaining 90 yards. Recover jog back to the 20. Perform 9 Merkins , 2 @Burpee , sprint the remaining 80 yards, recover jog to the 30. Repeat until all 100 yards and 11's have been completed. Plank/core exercise until remaining PAX complete</p>","[object Object]"
"exicon-1761944081241-20%-bert-variation","20% Bert Variation","<p>This is a variation on the iconic Bert WOD. The reps and distances have been reduced. It is executed repeatedly as a ladder/pyramid to time. The routine works best with either a 100m or 300m out and back course. 10x Burpees 100m Run 20x <span data-type=\"mention\" class=\"mention\" data-id=\"exicon-1754529609144-merkin\" data-label=\"Merkin\" data-mention-suggestion-char=\"@\">@Merkin</span> 100m Run 30x Lunges or Spartan Hammers or Sit-ups 100m Run 40x Squats 100m Run 30x Lunges or Spartan Hammers or Sit-ups 100m Run 20x Merkins 100m Run (Repeat to time) The following is a cinderblock variant. It works on a 100m out and back course. pick-up cinderblock 10x Blockees 100m Rifle Carry Drop cinderblock 20x Merkins 100m Run 30x Lunges or Spartan Hammers or Sit-ups 100m Run pick-up cinderblock 40x Goblet Squats 100m Rifle Carry Drop cinderblock 30x Lunges or Spartan Hammers or Sit-ups 100m Run 20x Merkins 100m Run (Repeat to time)</p>",""
"exicon-1753308717385-21s","21s","21s In unison PAX does 2-count side straddle hop and counts reps 1-5 out loud. Reps 6-21 are all mental and everyone must stop together at 21. If anyone stops early or goes over Q has PAX perform penalty workout of Q''s choice. Legs Routine",""
"exicon-1753308717600-4x4s","4x4s","<p>Start with arms raised in a standing position, burpee into plank followed by four Merkins followed by four mountain climbers with each leg. \"One\" is completed when returning to the standing position with arms raised. Wash, rinse, repeat. Recommended to do OYO while waiting for the 6 or waiting for a partner during a group exercise.</p>",""
"exicon-1758554834120-5-minute-miracle","5-minute miracle","1 minute divided into 3 x 20 second rounds. \nRound 1: 20 seconds of Merkins\nRound 2: 20 seconds of abs (dictated by the Q)\nRound 3: 20 seconds of legs (dictated by the Q)\nRepeated 5 times = 5 minutes\n\nAll exercises are performed OYO; may be used as a warm-up or a finisher. \n\nExample: 1st minute is standard traditional moves- merkins, sit-ups, squats. 2nd minute is wide arm merkins, flutter kicks, Bonnie Blaires. 3rd minute is staggered merkins, imperial walkers, Cusack squats. 4th minute is diamond merkins, LBC, Bobby Hurley’s (jump shots). 5th minute is standard merkins, side bends, pulse squats. ",""
"exicon-1771457464751-6\"-in-the-air-tonight","6\" In the Air Tonight","<p>On your six. Hold a <strong>6-inch Leg Hold</strong> for the entire slow build-up (approx 3.5 mins). When the famous drum fill hits, switch to max effort <strong>Flutter Kicks</strong> until the end.</p>",""
"exicon-1753308717815-7-of-diamonds","7 of Diamonds","<p>Performed on a large diamond (i.e. a square); we use the outside of a baseball field, but any large area will work. For the first round, do 7 reps of an exercise (burpees) at each of the 4 corners with a mosey (or sprint) in between corners. Each round, increase by 7 reps with a different exercise each round, for a total of 4 rounds. Round 2, 14 four count flutter kicks at each of the 4 corners. Round 3, 21 merkins at each of the 4 corners. Round 4, 28 squats at each of the 4 corners. If time allows, continue for a total of 7 rounds, decreasing the reps by 7 for each of the last 3 rounds with exercises of the Q''s choice. We will do some rounds on your own, then wait for the six each round; and some rounds we do as a group. Q''s choice.</p>",""
