Exercises – F3 New Orleans,
Name,Description
1st & 10,"100 yard field marked at 10 yard increments. Perform 10 Merkins, 1 Burpee (11’s) at the 10, sprint the remaining 90 yards. Recover jog back to the 20. Perform 9 Merkins, 2 Burpees, sprint the remaining 80 yards, recover jog to the 30. Repeat until all 100 yards and 11’s have been completed. Plank/core exercise until remaining PAX complete."
21s,In unison PAX does 2-count side straddle hop and counts reps 1-5 out load. Reps 6-21 are all mental and everyone must stop together at 21. If anyone stops early or goes over Q has PAX perform penalty workout of Q’s choice.
7 of Diamonds,"Performed on a large diamond (i.e. a square); we use the outside of a baseball field, but any large area will work. For the first round, do 7 reps of an exercise (burpees) at each of the 4 corners with a mosey (or sprint) in between corners. Each round, increase by 7 reps with a different exercise each round, for a total or 4 rounds. Round 2, 14 four count flutter kicks at each of the 4 corners. Round 3, 21 merkins at each of the 4 corners. Round 4, 28 squats at each of the 4 corners. If time allows, continue for a total of 7 rounds, decreasing the reps by 7 for each of the last 3 rounds with exercises of the Q's choice. We will do some rounds own your own, then wait for the six each round; and some rounds we do as a group. Q's choice."
ALARM,"A-L-A-R-M (Similar to B.O.M.B.S. except these stand for Arm, Leg, Abs, ‘R’ Exercise, ‘M’ Exercise): An exercise group of movements performed in successive fashion without rest; generally these are performed in multiples (e.g. ALARM 1 = Shoulder Press, Lunge, LBC, Run, Merkin; ALARM 2 = Shoulder Taps, Squat Jumps, Peter Parkers, Ranger Merkins, Makhtar N’Diayes, ALARM 3 = Burpees, Jump Squat, Mountain Climbers, Rockette Hillbillies, Pattycake Merkins)"
All About The Benjamins,"Similar to 11's, however each part equals 100, that's why ""the Benjamins"".  This is OYO and the Q can use the exercises of choice, but the suggested exercises are with a coupon,<br /> 25 Curls for the Girls,  25 Walking Lunges, 25 Squats, 25 Walking Lunges back to your coupon, 25 Overhead Press, 25 Walking Lunges, 25 Mountain Climbers, 25 Walking Lunges back.  Depending on the mood of the Q, he could make the PAX lunge walk with their coupon or not, but at the end that's 100 reps on the exercises, and 100 lunges."
Bataan Death Crawl,"A combination of Catch Me If You Can and a traditional Bear Crawl. The last person drops and does 5 Burpees, while the rest of the Pax Bear Crawl in a line. After completing the Burpees, the last guy runs to catch the group, tapping the (new) last Pax on the shoulder, who then stops to begin his 5 Burpees, while the (former) last guy continues on to the front of the line. Continue until all Pax have performed a set of Burpees, until the Q calls it or a certain distance has been reached."
Bear Crawl 1-2-3,"Dora's obnoxious neighbor who throws wild parties all night long. Partner up, perform 100 Merkins, 200 LBCs, and 300 Squats as a team. While Partner 1 is doing the 1-2-3, Partner 2 Bear Crawls across a defined space (parking lot works great), and Crawl Bear back, then flip flop until all Merkins, LBCs, and Squats are complete."
Bearmuda Triangle,"3 markers ~30yds apart in shape of a triangle. Pax performs one burpee at first marker and bear crawls to 2nd marker, 2 burpees and bear crawl to 3rd marker, 3 burpees and bear crawl back to 1st marker. Rinse and Repeat x 3. Named Bearmuda Triangle as it has been known to mysteriously lose some pax along the way."
Bearpees,"The Bearpees are long lost cousins to the Burpeedans and suck equally. Line up across a field or parking lot. OYO 1 Burpee followed up by 4 count bearcrawl forward. Once PAX get to other side, rinse and repeat adding another Burpee, keeping the 1:4 ratio but only increasing the number of Burpees. This is best achieved when going past 4!"
Bears & Blocks,"Get on all fours (like you are doing a bear crawl) with your Cinder Block on the grass between your knees or feet. Reach between your legs and pull the Block across the grass passed your head. Now, bear crawl forward until the Block is between your feet again, and keep repeating across the length of the field."
Belching,"Pax lays flat on the ground in a line, Q says go. Everyone hops up similar to recovering from a burpee, and sprints 5 – 10 steps, then dives down flat on the ground remaining in line. Essentially, you're advancing the field without the enemy fire being able to smoke you. Go hard, go quick. After getting to your resting place, complete upper, and core routines, then do a different upper, core routine, then belch back to the starting point, mission accomplished. Best on grassy fields in the gloom with some morning dew, some dives have slides, one must reverse low crawl to get back to the line or forward low crawl to advance to the line."
Big Bang,"PAX form small circle, everyone in a plank, shoulder-to-shoulder. Place headlamp in the center. Q calls out a number and exercise. For example, ""10 burpees,"" means PAX stand up in an explosion of energy, run directly away from center of circle 10 yards/paces and do 10 burpees, then run back to the center and plank for the 6. Each PAX must find their own route away from the center of circle. Obstacles–ditches, trees, pits–are encouraged, but next round can't start until all PAX accounted for. Generally performed in increasing counts (10 paces/reps, 20 paces/reps, 30 paces/reps, 40 paces/reps, 50 paces/reps) representing the ever-expanding universe."
Bill Murray,"Same as Sheldon Cooper, but instead of decreasing reps after each run, you do 10 merkins, 10 squats, 10 BBSU, and 10 burpees each time.<br /> After the 3rd or 4th round, one of the PAX said he felt like he was in 'Groundhog Day.' That is what led us to Bill Murray for the name."
