 ,
Name,Description
Aiken Legs,"Done in succession with no rest — 20 Squats, 20 Box Jumps, 20 Lunges (10 each leg), 20 Split Jacks (10 each leg forward). Rinse and Repeated as many times as you can."
Air Drama,"A continuation of the Johnny Drama, adding an Air (Bodyweight) Squat. Begin from a standing position, move hips back and lower the torso to ""sit"" as deeply as possible while maintaining an upright position, upon returning to a full standing position, execute a calf raise. Can also be done as a negative calf raise by standing on a stair or curb."
Air Squared,Air chair (People’s Chair without the wall) combined with air claps in cadence.
Al Gore,Pretend to hug a tree from the squat position. Hold until the Q says to stop. Sometimes used to wait for all PAX to complete another exercise instead of planking.
Alabama Ass-Kickers,"aka Ass-kickers. Down on all fours, kick each leg individually up and back. 4-count on each leg – 1 up, 2 extend, 3 back to up position, 4 down."
Alternating Side Squats,"Start with feet together.  Step one leg out to the side and do a squat, returning legs together at the top.  Repeat on other side.  Usually done in slow cadence so 1 rep is a squat on each side."
Animal Style Squats,"This exercise instructs pax to get in the ""throw-up position"" (hands on knees), do a squat in that position, perform a burpee from there, then get back to throw up position to count for one squat. Q makes the call on time or repetitions."
Apolo Anton Oh No!,"A speed skater movement (full leg kick behind is encouraged) holding a rock and moving it side to side, done in cadence."
Apolo Ohno,Speed Skater style side hops
Ballerinas – Toe Squats,"In parallel, raise heels off the floor then slowly squat as low as you can (stop before any knee discomfort). With control, straighten the legs all the way back up to standing while balancing on the toes. Can be completed with arms straight out for balance or with hands clasped behind head. Best performed either in a slow cadence or OYO."
Baryshnikov Squats,"Legs rotated out to the sides, hips opened, heels raised, then squat."
Baryshnikovs,"4-count leg exercise, in which you lunge forward (1), hop straight up on opposite leg (2), lunge backward (3) and hop up straight again on opposite leg (4). Typically do set of, say, left-leg Baryshnikovs followed by set of right-leg Baryshnikovs."
Bernie Sanders,Find the tallest hill you can and traverse it from bottom to top while running backwards. You'll find the quads you never had and all the while feeling the BERN. Repeat as necessary.
Blart,"Similar to an Al Gore, Pax are in Air Chair position and grab the handlebars of their Segway. Pax bend at the knees – left, forward, right, back is 1 count (Kodiak style)"
