Exercises – F3 New Orleans,
Name,Description
Absolution,"Combination of a Groiner, Mahktar N' Diayes, and Chilly Jack, done on an 8-count cadence. An awesome core and upper body workout that is both the solution to flabby abs, and a reason to beg absolution for your sins. Start in plank position and perform a single Groiner (cadence ""1"" jump feet forward, ""2"" jump feet back), then Mahktar N' Diayes to Chillcut position (cadence ""3"" & ""4"" with drop to each elbow), then Chilly Jack (cadence ""5"" feet out, ""6"" feet together), and finally Mahktar N' Diayes to plank starting position (cadence ""7"" and ""ONE, TWO, etc."" with rise on each hand). Best done in mulch, dirt or at edge of grass and asphalt/concrete so hands/elbows can be on grass while feet have traction. Also works well in parking lot conveyer belts when PAX are provided with small squares of cardboard left at Absolution station to protect elbows. Smart Q's will introduce this with the cadence, but then instruct PAX to do sets of 15-30 OYO (as the Q will suffer too and should avoid giving the impression of weakness to the PAX, lest he suffer insufferable mumble chatter)."
Alternating Shoulder Taps,"From the Merkin position, alternate touching your left hand to right shoulder and right hand to left shoulder. IC or OYO."
Ascending Testicles,Cousin of Balls to the Wall. Start with feet on wall in 15 degree descending Merkin (Derkin) position. Do 10 Derkins then walk feet up wall to 45 degree Derkin position. 10 more Derkins then walk feet up wall to full Balls to the Wall pose. Can add 10 more Derkins here if you're tough enough. Or hold in BTTW pose.
ATMs,"All done in order, with no rest, without leaving plank position. Can be scaled using higher reps. 15 Alternating Shoulder Touches In Cadence (4-count), 10 Tempo Merkins (down on the 1-2-3, up on 4), 10 fast Merkins. That's 1 complete round."
Balls to the Wall,Aka BTTW. Standing upside down on your hands with your feet above your head facing any type of structure that will support your body. As close to the wall as you can as the name implies.
Bat Wings (aka the Martina Special),"Progression of arm exercises that are deceivingly difficult and named after Austin's bats. Start with 20 x Forward Arm Circles, hold, 20 x Backwards Arm Circles, hold, 20 x seal claps, hold, 20 x overhead claps. Everything is on a 4-count. Remember to enjoy the pain on the faces of your fellow men."
Blades of Steel,"Start in plank position with hands directly under shoulders, keeping arms as straight as possible. Slowly perform merkin with only your shoulders doing the movement, no bend in your elbows. At your lowest position your shoulder blades are close together, with elbows and back still straight. Slowly raise your body with only your shoulder blades pushing away from your spine. Your shoulder blades will be slightly rounded at top once complete. Suggested to move slow."
Bottom Feeders,"Any set of exercises where the pax travel back and forth and the traveling portion is limited to bear crawls, crab walks or other height-restricted method. (The exercises on either end do not need to be ground-based) – Examples: 7s 11s, 21s, suicides, pyramids, etc…"
Burp-ups,"Standard Burpee done (typically under monkey bars) where you do the Burpee, then when you jump you grab the monkey bar and go straight into a pull up. Rinse repeat."
Chicken Peckers,"Feet up on the Wall, Hands on the ground. IC lift your hand and touch your opposite shoulder."
Chuck Norris Merkins,"AKA the ""Knerkin"".  A traditional Merkin but performed using the knuckles instead of the open hand."
Clock Pendelum,"Bending at waist, back straight parallel to ground. Use sandbag/ weight / CMU raise weight 90 deg to left, back to center, 90 deg to right, back to center….repeat Keep back straight."
Coach,"The Coach – Partner up into groups of 3. Partner 1 performs a pull up and holds in the up position while partner 2 takes on the role of the Coach. It's the Coach's responsibility to encourage P1 to give his best effort, to push through the pain, to do whatever it takes to stay in the up position while P3 sprints around the pickle (parking lot) one time. Upon P3's arrival P1 comes down from the pull up and gives P2 a high five for being a great coach. P1 will now sprint the pickle while P2, goes up on the bar. P3 is now the coach. This cycle continues until everyone has had a turn at all three positions. Repeat until all pax have lost their voices, arms have fallen off, or the Q is ready to move on."
Colonel Trautman,Pair up and one partner runs 20 yards to the pull up bar and do 3 pull ups while the other partner does either 5 fingertip Merkins or 10 regular Merkins then hold Chillcutt for their partner to tell them to go and do their pull ups. And you do as many sets as you can with in the time frame the Q gives you.
Colt 45,45 Cinder Block Curls (Similar to 21's). 15 reps go from the bottom of the movement up to the halfway point (with your arms at a 90 degree angle and hands at elbow level). 15 reps Go from the halfway point up to the top of the bicep curl (hands up near shoulder level). 15 reps Start at the bottom of the movement and complete a full range of movement all the way up.
CPRs,"Combination of 3 Arm exercises with Cinderblocks. Starting position like doing curls and done all together in a 4-Count cadence: 1 =  ""C""url, 2 = Overhead ""P""ress, 3 = Tricep ""R""aise (i.e. extension), 4 = Return to starting position."
Creapees,"This is a normal burpee with a creature merkin variant at the bottom. This version of the creature merkin is where the creature is climbing out of the black lagoon, so it is performed in front of a bench and transitions from a regular merkin to an inclined merkin (F3Orlando Flowerchild favorite)."
Curb Alpert,"Pax in push up position alongside curb, and walk hands up and down the the curb as if they are drumming like the legendary Herb Alpert."
