Exercises – F3 New Orleans,
Name,Description
Alligator Merkin,"Walking Merkin. Alternate stepping hands forward on successive merkin reps. You know…like an alligator walks, but with merkins."
Apple Turnover,"Best done on a parking lot or a set of cones evenly placed in a row. PAX would do a bear crawl for a certain length, 3 Lines in a parking lot or to the first cone. PAX would then flip to the crab walk for a designated length, 3 more lines or to the 2nd cone, Back to the bear crawl for a distance, flip crab walk for a distance etc… Length is determined by the lines in the parking lot or how many cones the Q has. Great for slowing PAX down that likes to run. Q can make it a Hot Apple Turnover by adding Crawl Bear to the mix."
Ascending Curb Crawl,"Locate PAX on quite curbed street. Starting position Bear Crawl facing opposite curb. BC to other side, turn & place feet on curb to complete one Derkin, crawl back and complete two Derkins, continue to 13. Jack Webb's promiscuous cousin."
Bataan Death Crawl,"A combination of Catch Me If You Can and a traditional Bear Crawl. The last person drops and does 5 Burpees, while the rest of the Pax Bear Crawl in a line. After completing the Burpees, the last guy runs to catch the group, tapping the (new) last Pax on the shoulder, who then stops to begin his 5 Burpees, while the (former) last guy continues on to the front of the line. Continue until all Pax have performed a set of Burpees, until the Q calls it or a certain distance has been reached."
Bear Brawl,"Like a Football sled during two-a-days, Pax 1 assumes the Bear Crawl position while Pax 2 provides resistance to Pax 1's shoulders and resists their forward progress for a pre-determined distance. Then FlapJack. Another advantage of this exercise is that P2 can provide encouragement/motivation into P1's ear directly. MumbleChatter rises as resistance increases reciprocally. As developed in F3Nolensville."
Bear Crawl,"Walk on ground with both hands and feet, like a bear."
Bear Crawl 1-2-3,"Dora's obnoxious neighbor who throws wild parties all night long. Partner up, perform 100 Merkins, 200 LBCs, and 300 Squats as a team. While Partner 1 is doing the 1-2-3, Partner 2 Bear Crawls across a defined space (parking lot works great), and Crawl Bear back, then flip flop until all Merkins, LBCs, and Squats are complete."
Bear Crawl 360,Perform Bear Crawl while rotating 360 degrees the entire time. Can be performed clockwise or counter-clockwise.
Bear Crawl Burpees,"PAX start in upright position arms raised (Grizzly bear rarwr) drop in to burpee, at the top of the push up start bear crawling. Everytime you hear Grizzly, you hop back up, drop back down, push up and crawl again."
Bear Crawl Inch Worm,PAX lines up head to to feet in plank position. The man in the back of the line bear crawls to front of the line and yells front and next man does the same thing until whole PAX has done it.
Bear Crawl Merkin,4ct exercise. Start in bear crawl. 3 count crawl with the 4th being the merkin. Hands should be staggered during merkin and if done correctly will result in each hand being staggered forward on opposing reps.
Bear Crawl Ring of Fire,"Combines exercises we have all come to love/hate. Circle up around shovel flag. Begin by bear crawling around in circle until Q says stop. Upon stopping, first Pax completes 10 merkins while other Pax plank, then next pax in line completes 10 merkins while other pax plank. Keep going around until all pax have completed the 10 merkins. The suck factor greatly increases the more pax you have (longer planks). Do as many rounds as time permits, or really until Q is smoked. Best when combined with a mucho chesto variation. 5 rounds of bear crawls in circle formation, 10x each of merkins, diamond merkins, werkins, stagger left merkin, and stagger right merkins. (ie Round 1 bear crawl in circle, Q halt, first pax does 10 merkins, pax plank until all pax have completed 10 merkins….begin bear crawling again for Round 2, Q halt, first pax does 10 diamond merkins, pax plank until all pax have com pleted 10 diamond merkins….etc.)"
Bear Crawl Snake,"Similar to Bear Crawl Inch Worm, but adds a weave. PAX line up head to feet in plank position. The man at the back of the line, bear crawls to front of the line, weaving in and out of planking PAX and yells when at front. Next man does the same thing until all PAX have completed. Repeato as necessary."
Bearmuda Triangle,"3 markers ~30yds apart in shape of a triangle. Pax performs one burpee at first marker and bear crawls to 2nd marker, 2 burpees and bear crawl to 3rd marker, 3 burpees and bear crawl back to 1st marker. Rinse and Repeat x 3. Named Bearmuda Triangle as it has been known to mysteriously lose some pax along the way."
Bearpees,"The Bearpees are long lost cousins to the Burpeedans and suck equally. Line up across a field or parking lot. OYO 1 Burpee followed up by 4 count bearcrawl forward. Once PAX get to other side, rinse and repeat adding another Burpee, keeping the 1:4 ratio but only increasing the number of Burpees. This is best achieved when going past 4!"
Bears & Blocks,"Get on all fours (like you are doing a bear crawl) with your Cinder Block on the grass between your knees or feet. Reach between your legs and pull the Block across the grass passed your head. Now, bear crawl forward until the Block is between your feet again, and keep repeating across the length of the field."
Bearway to Heaven,"A Bear Crawl suicide of seven increasing lengths with decreasing burpees at the end of each length. Ideally the lengths and number of burpees should be such that the entire exercise takes the full 8:01 time of ""Stairway to Heaven""."
Boo Boo Bear Crawl,Similar to Bear Crawl but with either leg held off the ground all the time so the back leg has to basically hop forward.
Brickbarrow,"It's a wheelbarrow with 2 pax except the pax crawling on his hands also has to ""walk"" with a brick in each hand."
