Exercises – F3 New Orleans,
Name,Description
B.O.M.B.S.,"Similar to Dora 1-2-3 but more exercises. Partner up. Pax 1 does exercise while Pax 2 runs to the other end of the (insert your destination). Swap out and continue the exercise until each amount of reps are complete. The exercises and reps are: 50- Burpees / 100- Overhead Claps / 150- Merkins / 200- Big Boy Sit-ups / 250- Squats. Tags: Circuit, Partner"
Bataan Death March,"AKA: Burpee Catch Me If You Can Indian Run…A combination of Catch Me If You Can and a traditional Indian Run. The last person drops and does 5 Burpees, while the rest of the Pax mosey in a line. After completing the Burpees, the last guy runs to catch the group, tapping the (new) last Pax on the shoulder, who then stops to begin his 5 Burpees, while the (former) last guy continues on to the front of the line. Continue until all Pax have performed a set of Burpees or until the Q calls it."
Bear Brawl,"Like a Football sled during two-a-days, Pax 1 assumes the Bear Crawl position while Pax 2 provides resistance to Pax 1's shoulders and resists their forward progress for a pre-determined distance. Then FlapJack. Another advantage of this exercise is that P2 can provide encouragement/motivation into P1's ear directly. MumbleChatter rises as resistance increases reciprocally. As developed in F3Nolensville."
Bear Crawl 1-2-3,"Dora's obnoxious neighbor who throws wild parties all night long. Partner up, perform 100 Merkins, 200 LBCs, and 300 Squats as a team. While Partner 1 is doing the 1-2-3, Partner 2 Bear Crawls across a defined space (parking lot works great), and Crawl Bear back, then flip flop until all Merkins, LBCs, and Squats are complete."
Bear Crawl Inch Worm,PAX lines up head to to feet in plank position. The man in the back of the line bear crawls to front of the line and yells front and next man does the same thing until whole PAX has done it.
Bear Crawl Snake,"Similar to Bear Crawl Inch Worm, but adds a weave. PAX line up head to feet in plank position. The man at the back of the line, bear crawls to front of the line, weaving in and out of planking PAX and yells when at front. Next man does the same thing until all PAX have completed. Repeato as necessary."
Booyah! Merkin,"In honor of the late great Stuart Scott, who no doubt would have been an F3 Dash pax, had F3 been in Winston-Salem decades ago. 2 pax plank facing each other perform merkin in unison and on up move reach out and tap right hand to partner's left shoulder, repeat merkin in unison with left hand tap to partner's shoulder to complete one rep. Each up move accompanied by a spirited BOOYAH!"
Brickbarrow,"It's a wheelbarrow with 2 pax except the pax crawling on his hands also has to ""walk"" with a brick in each hand."
Bridge of Hate,"The bridge of hate is the exact opposite of the tunnel of love. The pax form a line by laying on there back shoulder to shoulder. One pax will then be lifted and passed down the line of the pax that are laying on the ground. When the pax that was being passed down the line gets to the front he lays next to the last man and the man at the rear of the line then gets passed down, so forth and so on. Just like an inverted tunnel of love. Exercise can be done for distance or turns. Q's choice."
Bridge over the Nest,"Both partners start at the base of a bridge or hill. Partner 1 starts bear crawling over the bridge while Partner 2 completes 10 squats, 10 merkins, and 10 LBCs. Partner 2 then runs to the opposite side of the bridge and then runs back to the bear crawling Partner 1. Partner 2 picks up with the bear crawl while Partner 1 runs to the start to complete the exercises, runs across to the other side, and runs back to Partner 2. Repeato back and forth across the bridge until time runs out or the PAX start a mutiny against the Q for excessive cardio. Swap bear crawls for lunges, crab walks, inch worms, etc. after each round as desired."
Broken Wheelbarrow,"Similar to a wheelbarrow. Partner one walking on ground with hands while partner two is holding only one leg, with the other leg free of held leg. This demands dramatically more core stability. This has been referred to as the Broken Spirit."
Bropee,Performing a burpee with a partner simultaneously so that on your squat jump up you execute a most excellent high ten.
Bucket Brigade,"Works best with 4 – 8 men. Line up at top of stairs (or large hill). One man on each stair shoulder-to-shoulder. Man on highest stair passes heavy object (i.e. 60lb sandbag, cinderblock, etc) down to next man, who passes it along the line. Once you hand off object, run down stairs to end of the line to receive object again. Once at bottom of stairs, repeat going back up."
Burp Back Mountain,"A punishing full body exercise begins by locating a nice-sized hill. The exercise is then performed by pairing up with one person proceeding to run backward up the hill/forward down the hill 5X while the other person is performing burpees. The individuals continue to alternate running with burpees until 100 total burpees are completed. When finished, pax continue to run hills until entire pax completes."
Catch Me If You Can,"Two partners. Partner 1 performs 5 Burpees (or 10 Diamond Merkins or X Number of Whatever the Q says), and then sprints to catch the Partner 2, who has been running backwards. Repeato until Q says stop or track lap is complete."
Catch Us If You Can,"Three partners. Partner A partner carries Partner B. Partner C performs 5 Burpees (or 10 Diamond Merkins or X Number of Whatever the Q says), and then sprints to catch the pair. Partner C then partner carries Partner A. Partner B performs the called number of the called exercise and then sprints to catch the pair. Partner B then partner carries Partner C. Partner A performs the called number of the called exercise and then sprints to catch the pair. Repeato."
Caterpillar,"PAX forms 2 lines face-to-face, down in plank position. Allow 2-3 feet between PAX. Last man box-jumps over the planking PAX to the head of the line, Indian Run style. Continue cycling through over a Q-prescribed distance or until toasted."
Chilly Broad jumps,Each Pax member will be in the Chillcut position about 4-5 feet apart. The person on the end will Broad Jump over each person until he gets to the end. Then he will Chilcut and the next guy broad jumps etc. etc. This will continue for 25-50 yards depending on the Q.
