Exercises – F3 New Orleans,
Name,Description
Beep Test/Highlander,"PAX run continuously between two points that are 20 meters apart from side to side. The runs are synchronized with a smart phone application that played beeps at set intervals. At the sound of a beep, the PAX run 20 meters before then next beep sounds As the test proceeds, the interval between each successive beep decreases, forcing the PAX to increase their speed over the course of the test, until it is impossible to keep in sync with the recording. Should the Pax fail to make the 20 meter distance prior to the sounding of the Beep, then the PAX are eliminated from the test. Any eliminated PAX do exercises previously designated by the “Q” until only 1 PAX remains doing the Bleep Test."
Blue Falcon,Pax is divided into two teams teams and have 30 sec to come up with a plan then each team has 3 min ( how ever log Q decided) to do their own workout at the end of the workout you trade workouts and the other team has 3 min to complete the other teams workout. This can be done single or multiple rounds at the end of each round loser has a punishment (20 burpees) or something like that if both teams complete the excersies it can be a tie. Or since this is America first one to complete others workout plan wins.
Crab vs. Bear Soccer,"Preferably played on a soccer field with goals, divide into teams, one team has to crab walk while the other has to bear crawl. Once someone scores a goal, then the teams swap roles (bear to crab and crab to bear). Goalies have to plank, and goalies must be swapped out after every goal scored. Play for as long as you want, real men play for at least 20 minutes."
Devin Hester,"Two PAX of similar speed, one with a rock or other coupon and a small headstart, race 100 yds. 2nd Pax attempts to run down the 1st. Created by Glass Joe in Union County."
Duck Jousting,"Friendly combat between PAX in the duck walk position. Arms must remain crossing your chest. Bumping, nudging, rubbing and checking are highly encouraged. There is no biting, scratching, standing up or falling over or you are out. Kicking is actually allowed if you are possibly able to remain in the duck walk position on one leg. Last man to remain on his feet in the duck position is declared the winner. Best performed as the final exercise of 6MOM."
F3 Baseball,"Performed on a baseball diamond or using cones as bases. Pax are divided into four teams. Each team starts at its own base. Teams must complete a cumulative number of reps of different exercise at each base, for example, 120 team merkins at first, 120 team squats at second, 120 team crab cakes at 3rd, 120 team burpees at home, and then move using different modes of transportation to the next base. Each time a team passes the base it started on, it gets a point. Team with the most points after 20 minutes or some other set time wins."
Ultimate Football,"Played like Ultimate Frisbee but with a football. Scoring team calls out exercise for entirety of PAX, but ""losing"" team has to 2x the amount. ""10 burpees"" becomes 10 for scoring team, 20 for other team. If one team scores three times in a row, that team has to run a lap around field in addition to their exercises. Play for an hour, usually around the holidays."
Ultimate Frisburpee,"Similar to ultimate frisbee but with penalty burpees. On the 1st turnover, 5 burpees for all PAX. On the 2nd turnover, 4 burpees. On the 3rd, 3 burpees. On the 4th turnover, 2 burpess. On the 5th turnover, 1 burpee. If neither team has scored, the remainder of the point is played like regular ultimate frisbee. Burpee count resets after every point. You do not have to wait for all PAX to finish burpees to begin playing (i.e., it is advantageous to finish your burpees faster). Usually played for about 20 minutes. A PAX favorite in F3 Hampton Roads."
