Exercises – F3 New Orleans,
Name,Description
1st & 10,"100 yard field marked at 10 yard increments. Perform 10 Merkins, 1 Burpee (11’s) at the 10, sprint the remaining 90 yards. Recover jog back to the 20. Perform 9 Merkins, 2 Burpees, sprint the remaining 80 yards, recover jog to the 30. Repeat until all 100 yards and 11’s have been completed. Plank/core exercise until remaining PAX complete."
Agassis,"Tennis court suicide drills. (Agassi has had many comebacks, aye.)"
Bataan Death Crawl,"A combination of Catch Me If You Can and a traditional Bear Crawl. The last person drops and does 5 Burpees, while the rest of the Pax Bear Crawl in a line. After completing the Burpees, the last guy runs to catch the group, tapping the (new) last Pax on the shoulder, who then stops to begin his 5 Burpees, while the (former) last guy continues on to the front of the line. Continue until all Pax have performed a set of Burpees, until the Q calls it or a certain distance has been reached."
Bataan Death March,"AKA: Burpee Catch Me If You Can Indian Run…A combination of Catch Me If You Can and a traditional Indian Run. The last person drops and does 5 Burpees, while the rest of the Pax mosey in a line. After completing the Burpees, the last guy runs to catch the group, tapping the (new) last Pax on the shoulder, who then stops to begin his 5 Burpees, while the (former) last guy continues on to the front of the line. Continue until all Pax have performed a set of Burpees or until the Q calls it."
Beep Test/Highlander,"PAX run continuously between two points that are 20 meters apart from side to side. The runs are synchronized with a smart phone application that played beeps at set intervals. At the sound of a beep, the PAX run 20 meters before then next beep sounds As the test proceeds, the interval between each successive beep decreases, forcing the PAX to increase their speed over the course of the test, until it is impossible to keep in sync with the recording. Should the Pax fail to make the 20 meter distance prior to the sounding of the Beep, then the PAX are eliminated from the test. Any eliminated PAX do exercises previously designated by the “Q” until only 1 PAX remains doing the Bleep Test."
Bernie Sanders,Find the tallest hill you can and traverse it from bottom to top while running backwards. You'll find the quads you never had and all the while feeling the BERN. Repeat as necessary.
Bill Murray,"Same as Sheldon Cooper, but instead of decreasing reps after each run, you do 10 merkins, 10 squats, 10 BBSU, and 10 burpees each time.<br /> After the 3rd or 4th round, one of the PAX said he felt like he was in 'Groundhog Day.' That is what led us to Bill Murray for the name."
Billy Madison,"Inspired by Billy Madison's journey through back through school, this routine involves a running loop and exercise per grade.  For best effects, perform routine on school grounds. Begin with a loop (ideally single-file line leader style) to simulate the grade, followed by an exercise with 12 reps as the exam.  This concludes 1st grade.  Run the loop again, followed by the 1st grade exercise x 12 reps plus a new exercise x 12 reps.  This concludes 2nd grade. Continue with the loop and adding an exercise each time until you've completed one loop and exercise combo for each of the 12 grades.  Great for mumble chatter and telling of high school victories.  Celebrate graduation with snack packs for all!"
Black Snake,"Take an Indian Run, but the last guy has to weave his way through the Pax to the front of the line."
Bojangles Biscuit,"On a typical 400 meter track, sprint straights and mosey corners, each lap can add 10 blueberries (burpees) if want a blueberry biscuit"
Bridge over the Nest,"Both partners start at the base of a bridge or hill. Partner 1 starts bear crawling over the bridge while Partner 2 completes 10 squats, 10 merkins, and 10 LBCs. Partner 2 then runs to the opposite side of the bridge and then runs back to the bear crawling Partner 1. Partner 2 picks up with the bear crawl while Partner 1 runs to the start to complete the exercises, runs across to the other side, and runs back to Partner 2. Repeato back and forth across the bridge until time runs out or the PAX start a mutiny against the Q for excessive cardio. Swap bear crawls for lunges, crab walks, inch worms, etc. after each round as desired."
Burpee Mile,"48 burpees, 1 mile run. Done as 12 burpees, run 1/4 mile x 4."
Butkus,"Consists of rapid step ups on a curb for at least a minute, then 30 second rest, then another minute, etc. (like a round of boxing…how many rounds the Q wants to bring it)"
Carioca,"Running while crossing left foot over right and twisting at the hips, reverse – like the DBs do in the NFL. Often mistaken for Karaoke."
Circle Burp,"PAX Circle up and start chopping feet or doing high knees. Starting with the Q and going around the circle each PAX, one by one, calls out ""down"" and everyone drops and does a burpee. The circle burp is complete after each PAX in the circle has called ""down"". This is similar to doing Up Downs."
Creapees,"This is a normal burpee with a creature merkin variant at the bottom. This version of the creature merkin is where the creature is climbing out of the black lagoon, so it is performed in front of a bench and transitions from a regular merkin to an inclined merkin (F3Orlando Flowerchild favorite)."
Devin Hester,"Two PAX of similar speed, one with a rock or other coupon and a small headstart, race 100 yds. 2nd Pax attempts to run down the 1st. Created by Glass Joe in Union County."
Do-ah-diddy,"Forming a single file formation in Indian run fashion, the PAX begins in a forward mosey pace. The Front Man Peels off performing a set amount of pre-determined movement (Squat, Merkin, Burpee, ect.) and Holds Plank until entirety of PAX has passed him, At which point he falls in rank taking the 6 position and announces LOUD & PROUD ""6"". Front man on hearing the ""6"" call then continues the cycle until the Q is satisfied with the distance covered. Q can increase the ""6"" call from the beginning to shorten the periods between front men dropping. Be sure to not leave anyone behind and always pick up your 6!"
