Name,Description
21s,In unison PAX does 2-count side straddle hop and counts reps 1-5 out load. Reps 6-21 are all mental and everyone must stop together at 21. If anyone stops early or goes over Q has PAX perform penalty workout of Q’s choice.
Abe Vigoda,"A variation on the Windmill, which is peformed much more slowly and with more stretching (aka “Old Man Style”). Usually peformed in Warm-a-rama."
Absolution,"Combination of a Groiner, Mahktar N' Diayes, and Chilly Jack, done on an 8-count cadence. An awesome core and upper body workout that is both the solution to flabby abs, and a reason to beg absolution for your sins. Start in plank position and perform a single Groiner (cadence ""1"" jump feet forward, ""2"" jump feet back), then Mahktar N' Diayes to Chillcut position (cadence ""3"" & ""4"" with drop to each elbow), then Chilly Jack (cadence ""5"" feet out, ""6"" feet together), and finally Mahktar N' Diayes to plank starting position (cadence ""7"" and ""ONE, TWO, etc."" with rise on each hand). Best done in mulch, dirt or at edge of grass and asphalt/concrete so hands/elbows can be on grass while feet have traction. Also works well in parking lot conveyer belts when PAX are provided with small squares of cardboard left at Absolution station to protect elbows. Smart Q's will introduce this with the cadence, but then instruct PAX to do sets of 15-30 OYO (as the Q will suffer too and should avoid giving the impression of weakness to the PAX, lest he suffer insufferable mumble chatter)."
Alarm Clock,"lie on ground- back of head and heels touching ground.  Get up (as quickly as possible). Hop up.  Rinse, repeat."
ALBATROSS WINGS,"Start with 20 x Forward Arm Circles, hold, 20 x Backwards Arm Circles, hold, 20 x seal claps, hold, 20 x overhead claps. Everything is on a 4-count. Bat Wings w/the following added: Moroccan Night Club, Cherry Pickers, Mike Tyson’s, Chinooks, Front Raises, Overhead Press, Albatross (flapping wings), and finish with 45 degree angle hold."
Alternating Side Squats,"Start with feet together.  Step one leg out to the side and do a squat, returning legs together at the top.  Repeat on other side.  Usually done in slow cadence so 1 rep is a squat on each side."
Annie,"This exercise instructs pax on the art of clean floors, be warned some pax may break out in song and dance. Hold plank and rotate one arm in a circular motion while holding plank with the opposite arm. Q makes the call on time or repetitions."
Australian Mountain Climber,"Get into the BTTW position and do a mountain climber, typically in cadence. Aka Aussie Mountain Climber"
Baba O'Riley,"Five minutes of Imperial Walkers set to the perfect five minute song, Baba O’Reilly by The Who. Increasing tempo for the final 30 seconds."
Bat Wings (aka the Martina Special),"Progression of arm exercises that are deceivingly difficult and named after Austin's bats. Start with 20 x Forward Arm Circles, hold, 20 x Backwards Arm Circles, hold, 20 x seal claps, hold, 20 x overhead claps. Everything is on a 4-count. Remember to enjoy the pain on the faces of your fellow men."
Blart,"Similar to an Al Gore, Pax are in Air Chair position and grab the handlebars of their Segway. Pax bend at the knees – left, forward, right, back is 1 count (Kodiak style)"
Bone The Fish,"Find a parking lot with spaces ""facing"" each other and without concrete ""stops"". Start on the first set of lines by shuffle right, sprint up to the next line, shuffle left. Rinse and repeat for 4 lines then switch to karaoke for 4 lines, then back pedal/sprint for 4 lines. Repeat a few times to get the blood flowing"
Capri Lap,"Usually a warmup lap around the parking lot or AO staying close enough to be seen by any that arrive late, but can include and or all of the the warmup. Named this in honor of Mint Hill's Capri who seems to always be a minute or two late."
Carioca,"Running while crossing left foot over right and twisting at the hips, reverse – like the DBs do in the NFL. Often mistaken for Karaoke."
Cheerleader,"Start in SSH position, go to the up SSH position, on the down go into a squat and bring hands to a point below the knees and repeat. Can be called IC or OYO."
Cracker Jacks,"Starting in ATG-Frog Squat position, w/ both arms extended straight down b/w legs + hands planted on ground. Perform a Star Jump & return to 1st position."
Danger Zone,PAX performs side straddle hop while Danger Zone by Kenny Loggins plays in the background. Everytime the words danger zone are heard PAX does single squat then resumes side straddle hop. End result is 3 and a half minutes of SSH with sporadic squats.
Derricks,"Single leg dead lift, slow 4-ct in cadence. Good warm up/balance move. Movement resembles oil derricks."
Don Quixotes,Aka Windmill.
Donkey Kick-offs,"Before the initial circle of pain, find the nearest wall and do 5 donkey kicks. On the 5th donkey kick hold feet to the wall for 5 seconds. Then up the number to 10 donkey kicks and 10 second hold. Continue adding by 5's until the PAX is dead donkey tired. Great way to start off a workout!"
Donkey Kicks,"While planking near a wall with your feet facing the wall, kick both feet up on wall above your body."
Dragon Wing,A modified Bat Wings where cinder are used in each hand
Eagle Wings,A modified Bat Wings where bricks are used in each hand
