Exercises – F3 New Orleans,
Name,Description
1st & 10,"100 yard field marked at 10 yard increments. Perform 10 Merkins, 1 Burpee (11’s) at the 10, sprint the remaining 90 yards. Recover jog back to the 20. Perform 9 Merkins, 2 Burpees, sprint the remaining 80 yards, recover jog to the 30. Repeat until all 100 yards and 11’s have been completed. Plank/core exercise until remaining PAX complete."
4 x 4s,"Start with arms raised in a standing position, burpee into plank followed by four Merkins followed by four mountain climbers with each leg. ""One"" is completed when returning to the standing position with arms raised. Wash, rinse, repeat. Recommended to do OYO while waiting for the 6 or waiting for a partner during a group exercise."
Animal Style Squats,"This exercise instructs pax to get in the ""throw-up position"" (hands on knees), do a squat in that position, perform a burpee from there, then get back to throw up position to count for one squat. Q makes the call on time or repetitions."
Apollo Creed Burpee,"Remember the scene from Rocky 3 with Apollo and Rocky doing one-armed push-ups? That's right, a one-armed Burpee!!!"
Aussie Burpees,"A groiner with a small hop. Popularized by the very-soon-to-be-eclipsed May 8, 2018 Guiness World Record holder for the most burpees done in 60 minutes by a female. ""According to the folks at Guinness World Records, the start position is with hands and feet on the ground in a plank; all Elizabeth Llorente, 37, had to do when she got to the jump position was remove her hands and feet from the ground. So the personal trainer gives a little froglike hop rather than standing up and doing a full jump with arms to the sky; she also skips the pushup element."" Can be substituted for 10 counts or stargazers when PAX could use a breather"
Bataan Death Crawl,"A combination of Catch Me If You Can and a traditional Bear Crawl. The last person drops and does 5 Burpees, while the rest of the Pax Bear Crawl in a line. After completing the Burpees, the last guy runs to catch the group, tapping the (new) last Pax on the shoulder, who then stops to begin his 5 Burpees, while the (former) last guy continues on to the front of the line. Continue until all Pax have performed a set of Burpees, until the Q calls it or a certain distance has been reached."
Bataan Death March,"AKA: Burpee Catch Me If You Can Indian Run…A combination of Catch Me If You Can and a traditional Indian Run. The last person drops and does 5 Burpees, while the rest of the Pax mosey in a line. After completing the Burpees, the last guy runs to catch the group, tapping the (new) last Pax on the shoulder, who then stops to begin his 5 Burpees, while the (former) last guy continues on to the front of the line. Continue until all Pax have performed a set of Burpees or until the Q calls it."
Bear Crawl Burpees,"PAX start in upright position arms raised (Grizzly bear rarwr) drop in to burpee, at the top of the push up start bear crawling. Everytime you hear Grizzly, you hop back up, drop back down, push up and crawl again."
Bearmuda Triangle,"3 markers ~30yds apart in shape of a triangle. Pax performs one burpee at first marker and bear crawls to 2nd marker, 2 burpees and bear crawl to 3rd marker, 3 burpees and bear crawl back to 1st marker. Rinse and Repeat x 3. Named Bearmuda Triangle as it has been known to mysteriously lose some pax along the way."
Bearpees,"The Bearpees are long lost cousins to the Burpeedans and suck equally. Line up across a field or parking lot. OYO 1 Burpee followed up by 4 count bearcrawl forward. Once PAX get to other side, rinse and repeat adding another Burpee, keeping the 1:4 ratio but only increasing the number of Burpees. This is best achieved when going past 4!"
Blimps,"5 burpees, 10 lunge each leg, 15 imperial walker, 20 merkins, 25 plank jacks, 30 squats. Rinse and repeat as needed. Can be done to cross a field or lot."
Blockee,Burpees with cinder blocks. With your cinder block drop down and do a Merkin on the cinder block. Return to the standing position and press the cinder block above your head to complete one rep.
Body Bag Builders,"This is a 10-count exercise. Perform 8-ct Body Builder but *insert 2-ct (right knee/left knee) Mountain Climber* after 2-ct Plank Jack but before 2-ct Merkin portion…'voila'…""8-ct Body Builder"" but worse; hence, the body bag reference."
Body Builders,"Essentially this is an 8 count Burpee, with a plank-jack added. (1) Squat down, (2) legs out, (3) down part of Merkin, (4) up part of Merkin, (5) out part of plank-jack, (6) in part of plank-jack, (7) feet to hands, and (8) stand up."
Bojangles Biscuit,"On a typical 400 meter track, sprint straights and mosey corners, each lap can add 10 blueberries (burpees) if want a blueberry biscuit"
BOPO,"Burpee, One-Legged Burpee, Plank Jack, One-Legged Burpee (other leg) – call this OYO for 10 reps."
Broad Jump Burpee,Combination of burpee with a broad jump forward at end of burpee.
Bropee,Performing a burpee with a partner simultaneously so that on your squat jump up you execute a most excellent high ten.
Burp & Groin,"Like the Burp & Merk, but do ascending Groiners 1-10 after the merkin part of the burpee."
Burp & Merk,"Begin a traditional burpee with a single push up at the bottom, then complete. Drop back down for a second burpee with two push ups, then complete. Pyramid up to 5 if your a girl or 10 if your a man, pyramid all the way back down to one if your an F3 Man!! Hooah!"
Burp Back Mountain,"A punishing full body exercise begins by locating a nice-sized hill. The exercise is then performed by pairing up with one person proceeding to run backward up the hill/forward down the hill 5X while the other person is performing burpees. The individuals continue to alternate running with burpees until 100 total burpees are completed. When finished, pax continue to run hills until entire pax completes."
Burp-ups,"Standard Burpee done (typically under monkey bars) where you do the Burpee, then when you jump you grab the monkey bar and go straight into a pull up. Rinse repeat."
Burpee,"A multi-step, full-body exercise in which you move from standing to push-up to squat to jump. Best seen in F3 TV example."
