Exercises – F3 New Orleans,
Name,Description
Absolution,"Combination of a Groiner, Mahktar N' Diayes, and Chilly Jack, done on an 8-count cadence. An awesome core and upper body workout that is both the solution to flabby abs, and a reason to beg absolution for your sins. Start in plank position and perform a single Groiner (cadence ""1"" jump feet forward, ""2"" jump feet back), then Mahktar N' Diayes to Chillcut position (cadence ""3"" & ""4"" with drop to each elbow), then Chilly Jack (cadence ""5"" feet out, ""6"" feet together), and finally Mahktar N' Diayes to plank starting position (cadence ""7"" and ""ONE, TWO, etc."" with rise on each hand). Best done in mulch, dirt or at edge of grass and asphalt/concrete so hands/elbows can be on grass while feet have traction. Also works well in parking lot conveyer belts when PAX are provided with small squares of cardboard left at Absolution station to protect elbows. Smart Q's will introduce this with the cadence, but then instruct PAX to do sets of 15-30 OYO (as the Q will suffer too and should avoid giving the impression of weakness to the PAX, lest he suffer insufferable mumble chatter)."
Alphabet (or ABCs),"In a leg lift position, draw the letters of the Alphabet, big capital letters, of course."
American Hammer or Zelensky Twist,A more appropriate name for the former Russian Twist. Rocky did beat the Russian in the movie. Sounds tougher too…
ARod's,Combination of a JLo and a Pickle Pounder
Australian Snow Angels,"Begin in the prone position like Superman. With arms and legs extended as far and as high as possible begin ""Snow Angel"" making motion in a 4 count cadence. A real crowd pleaser, especially in the rain."
Bay City Scissors,"Alternating scissor kicks done in an 8-count. On your back start with your legs at a 45-degree angle. Alternate legs for a vertical 4-count scissor; 1-right leg up/ left leg down, 2-left leg up/ right leg down, 3-right leg up/ left leg down, 4-left leg up/ right leg down. Counts 5-8 are parallel to the ground; 5- right leg over left leg, 6- left over right, 7-right over left, 8-left over right. That's ONE. A real crowd pleaser at the end of your AB workout."
Bear Hold,"What happens when you combine a plank and bear crawl…. you get the Bear Hold. Its is the bear crawl position, but don't move. 4 points of contact, hands and toes. Knees should be slightly off the ground."
"Big Boy Sit-up-Ups (aka, Bissyous)",Big Boy Sit-up-Ups = standard Big Boy Sit-ups + stand all the way up when you get to the top of each sit up position… helps to have a Partner holding your feet. Recommended Partner holding feet keep head down chin to chest – avoid strange encounters to the face during exercise!
Big O,"Sit on the very edge of a skate bowl or any ledge with your legs hanging over the abyss, feet together. Make big O's with your feet, bringing them down into the bowl on the downswing. Hands out to the side or gripping ledge."
Bizarro,"Bizzaro is Superman's Doppelganger (aka the ""negative Superman""), from DC comics. The exercise involves pulsing in and out of the Superman position over the lip of a skate bowl/pool (picnic table, ledge, whatever) so that the legs actually go negative."
Blart,"Similar to an Al Gore, Pax are in Air Chair position and grab the handlebars of their Segway. Pax bend at the knees – left, forward, right, back is 1 count (Kodiak style)"
Boat / Canoe,The Boat position would be while on six with legs pulled up to chest and arms beside body. Canoe is when legs and back are straightened while keeping both off the ground. Q calls out Boat or Canoe.
Bohemian rhapsody,Slow Freddy Mercury with a 5 second hold on each side each side single count finishing with Freddy Mercury’s IC
Boxcutter,"AKA Upstate Boxcutter. This ab exercise starts on your 6 with legs together 6 inches, out like a Dolly for 1, up for 2, back together for 3, and down without touching the ground for count. Can also be reversed from 6 inches, feet up together, feet out, down, back together at 6 inches for count. Feet are moving in a square motion."
Bruce Lee,"An super set consisting of 6 ab exercises: 1. Hammer, 2. Leg raises, 3. LBC's, 4. Heel Touches, 5. Crunchy Frog, 6. 100's. 20 reps, 3 sets. 30 seconds rest between each set. work up to 90 reps, 7 sets: Bruce Lee's work out."
Captain Therkin,"Captain Thor modified with 5 merkins between each set. 1:4, 5x merkin, 2:8, 5x merkin, 3:12, 5x merkin, etc."
Captain Thor,An ab exercise done in a 1:4 ratio. 1 big boy sit up to 4 American Hammers (Russian Twist). Try to get 10:40 before Merlot comes.
Chilcutt Peter Parkers,"While holding Chilcutt position (see above), alternate bringing each leg up towards your arms (see Peter Parkers)."
Cindy Crawford,"Like Cindy (AMRAP 5 pull-ups, 10 merkins, and 15 squats) Plus 20 LBCs and 25 toe raises to get the full body bikini ready.  Complete 20 rounds in 30 minutes and you’re ready for the two piece!"
Cockroach Resurrection,"4-count ab exercise done lying down on your six and pulling your knees and arms to your chest, then rapidly extending arms and legs back out, then back in. Preferably done directly after the Dying Cockroach and with at least one extra rep."
Crunchy Frog,"Done in cadence, in a V-like sitting position, first wrap your legs with your arms. Quickly open yourself up by moving your arms out to your sides and extending your legs out in front of you. Bring them back in. Repeato. Video here."
Cut A Flip,"Alternating between 5 Merkins and 5 Big Boy Sit-ups, flipping between the 2 exercises over and over, no rest. Can be performed until a specific number is reached, ex. 100 Merkins and 100 Big Boys; or can be used in an AMRAP scenario that is timed such as 1 Minute or waiting for partner to complete a movement."
