Exercises – F3 New Orleans,
Name,Description
7 of Diamonds,"Performed on a large diamond (i.e. a square); we use the outside of a baseball field, but any large area will work. For the first round, do 7 reps of an exercise (burpees) at each of the 4 corners with a mosey (or sprint) in between corners. Each round, increase by 7 reps with a different exercise each round, for a total or 4 rounds. Round 2, 14 four count flutter kicks at each of the 4 corners. Round 3, 21 merkins at each of the 4 corners. Round 4, 28 squats at each of the 4 corners. If time allows, continue for a total of 7 rounds, decreasing the reps by 7 for each of the last 3 rounds with exercises of the Q's choice. We will do some rounds own your own, then wait for the six each round; and some rounds we do as a group. Q's choice."
All About The Benjamins,"Similar to 11's, however each part equals 100, that's why ""the Benjamins"".  This is OYO and the Q can use the exercises of choice, but the suggested exercises are with a coupon,<br /> 25 Curls for the Girls,  25 Walking Lunges, 25 Squats, 25 Walking Lunges back to your coupon, 25 Overhead Press, 25 Walking Lunges, 25 Mountain Climbers, 25 Walking Lunges back.  Depending on the mood of the Q, he could make the PAX lunge walk with their coupon or not, but at the end that's 100 reps on the exercises, and 100 lunges."
Ascending Curb Crawl,"Locate PAX on quite curbed street. Starting position Bear Crawl facing opposite curb. BC to other side, turn & place feet on curb to complete one Derkin, crawl back and complete two Derkins, continue to 13. Jack Webb's promiscuous cousin."
Austin Ass-kickers,Same as Alabama Ass Kicker with one exception: if your left leg is extended also extend your right arm (and if your right leg is extended also extend your left arm).
B.O.M.B.S.,"Similar to Dora 1-2-3 but more exercises. Partner up. Pax 1 does exercise while Pax 2 runs to the other end of the (insert your destination). Swap out and continue the exercise until each amount of reps are complete. The exercises and reps are: 50- Burpees / 100- Overhead Claps / 150- Merkins / 200- Big Boy Sit-ups / 250- Squats. Tags: Circuit, Partner"
Bataan Death March,"AKA: Burpee Catch Me If You Can Indian Run…A combination of Catch Me If You Can and a traditional Indian Run. The last person drops and does 5 Burpees, while the rest of the Pax mosey in a line. After completing the Burpees, the last guy runs to catch the group, tapping the (new) last Pax on the shoulder, who then stops to begin his 5 Burpees, while the (former) last guy continues on to the front of the line. Continue until all Pax have performed a set of Burpees or until the Q calls it."
Bear Crawl Burpees,"PAX start in upright position arms raised (Grizzly bear rarwr) drop in to burpee, at the top of the push up start bear crawling. Everytime you hear Grizzly, you hop back up, drop back down, push up and crawl again."
Bear Crawl Ring of Fire,"Combines exercises we have all come to love/hate. Circle up around shovel flag. Begin by bear crawling around in circle until Q says stop. Upon stopping, first Pax completes 10 merkins while other Pax plank, then next pax in line completes 10 merkins while other pax plank. Keep going around until all pax have completed the 10 merkins. The suck factor greatly increases the more pax you have (longer planks). Do as many rounds as time permits, or really until Q is smoked. Best when combined with a mucho chesto variation. 5 rounds of bear crawls in circle formation, 10x each of merkins, diamond merkins, werkins, stagger left merkin, and stagger right merkins. (ie Round 1 bear crawl in circle, Q halt, first pax does 10 merkins, pax plank until all pax have completed 10 merkins….begin bear crawling again for Round 2, Q halt, first pax does 10 diamond merkins, pax plank until all pax have com pleted 10 diamond merkins….etc.)"
Bearmuda Triangle,"3 markers ~30yds apart in shape of a triangle. Pax performs one burpee at first marker and bear crawls to 2nd marker, 2 burpees and bear crawl to 3rd marker, 3 burpees and bear crawl back to 1st marker. Rinse and Repeat x 3. Named Bearmuda Triangle as it has been known to mysteriously lose some pax along the way."
Bearpees,"The Bearpees are long lost cousins to the Burpeedans and suck equally. Line up across a field or parking lot. OYO 1 Burpee followed up by 4 count bearcrawl forward. Once PAX get to other side, rinse and repeat adding another Burpee, keeping the 1:4 ratio but only increasing the number of Burpees. This is best achieved when going past 4!"
Bears & Blocks,"Get on all fours (like you are doing a bear crawl) with your Cinder Block on the grass between your knees or feet. Reach between your legs and pull the Block across the grass passed your head. Now, bear crawl forward until the Block is between your feet again, and keep repeating across the length of the field."
Bearway to Heaven,"A Bear Crawl suicide of seven increasing lengths with decreasing burpees at the end of each length. Ideally the lengths and number of burpees should be such that the entire exercise takes the full 8:01 time of ""Stairway to Heaven""."
Bill Murray,"Same as Sheldon Cooper, but instead of decreasing reps after each run, you do 10 merkins, 10 squats, 10 BBSU, and 10 burpees each time.<br /> After the 3rd or 4th round, one of the PAX said he felt like he was in 'Groundhog Day.' That is what led us to Bill Murray for the name."
Billy Madison,"Inspired by Billy Madison's journey through back through school, this routine involves a running loop and exercise per grade.  For best effects, perform routine on school grounds. Begin with a loop (ideally single-file line leader style) to simulate the grade, followed by an exercise with 12 reps as the exam.  This concludes 1st grade.  Run the loop again, followed by the 1st grade exercise x 12 reps plus a new exercise x 12 reps.  This concludes 2nd grade. Continue with the loop and adding an exercise each time until you've completed one loop and exercise combo for each of the 12 grades.  Great for mumble chatter and telling of high school victories.  Celebrate graduation with snack packs for all!"
