Exercises – F3 New Orleans,
Name,Description
Absolution,"Combination of a Groiner, Mahktar N' Diayes, and Chilly Jack, done on an 8-count cadence. An awesome core and upper body workout that is both the solution to flabby abs, and a reason to beg absolution for your sins. Start in plank position and perform a single Groiner (cadence ""1"" jump feet forward, ""2"" jump feet back), then Mahktar N' Diayes to Chillcut position (cadence ""3"" & ""4"" with drop to each elbow), then Chilly Jack (cadence ""5"" feet out, ""6"" feet together), and finally Mahktar N' Diayes to plank starting position (cadence ""7"" and ""ONE, TWO, etc."" with rise on each hand). Best done in mulch, dirt or at edge of grass and asphalt/concrete so hands/elbows can be on grass while feet have traction. Also works well in parking lot conveyer belts when PAX are provided with small squares of cardboard left at Absolution station to protect elbows. Smart Q's will introduce this with the cadence, but then instruct PAX to do sets of 15-30 OYO (as the Q will suffer too and should avoid giving the impression of weakness to the PAX, lest he suffer insufferable mumble chatter)."
Alternating Shoulder Taps,"From the Merkin position, alternate touching your left hand to right shoulder and right hand to left shoulder. IC or OYO."
Back Plank (aka Knalp),Same as plank except facing upwards with arms behind the body and on heels. (Knalp = plank spelled backwards)
Bear Crawl Inch Worm,PAX lines up head to to feet in plank position. The man in the back of the line bear crawls to front of the line and yells front and next man does the same thing until whole PAX has done it.
Bear Hold,"What happens when you combine a plank and bear crawl…. you get the Bear Hold. Its is the bear crawl position, but don't move. 4 points of contact, hands and toes. Knees should be slightly off the ground."
Captain Morgan,In plank position raise on one side and bring the high side knee up. Like Captain Morgan.
Caterpillar,"PAX forms 2 lines face-to-face, down in plank position. Allow 2-3 feet between PAX. Last man box-jumps over the planking PAX to the head of the line, Indian Run style. Continue cycling through over a Q-prescribed distance or until toasted."
Cheerleader Merkin,"Needed: odd count of pax (example below is with 5 pax) and a raised surface (bench, bleacher, etc)<br /> 3 pax in plank side by side<br /> 2 pax on top (with feet on bench and hands on back of 2 pax below) to form pyramid <br /> 10 abyss merkins for pax on top and everyone rotates clockwise until rotation is complete"
Chilcutts,An elbow plank. All elbows and no discernible movement is the way Big Pete rolled.
Chilly Broad jumps,Each Pax member will be in the Chillcut position about 4-5 feet apart. The person on the end will Broad Jump over each person until he gets to the end. Then he will Chilcut and the next guy broad jumps etc. etc. This will continue for 25-50 yards depending on the Q.
Chilly Jacks,A kissing cousin to the Plank Jack. This is a jumping jack while in the Chilcutt plank position.
Cooler / Super Duper Cooler,"For the Cooler… start with a side plank, resting on your forearm at 90 degrees. Legs are resting together. The exercise is done in four-count cadence. On 1, the top leg extends upward parallel to the body (as in ""right arm high, but it's your leg""). On 2, you're back to original position with legs back together. On 3, tuck the top leg toward your chest. There, the need should meet the top hand around shoulder level. On 4, you're back to original position again. Typically, Q calls out 10 on the right side, then flapjack, and perform 10 on the left. The Super Duper Cooler is the same, except you're not resting on your forearm… you're in full extension and supported only by your hand."
Cumberland County Viaduct (CCV),Basically – these are side raises. Lay on side with weight on elbow. In cadence – 1) raise hip up as high as you can. 2) back down but don't let other hip touch ground 3) raise up again 4) back down.
Curb Alpert,"Pax in push up position alongside curb, and walk hands up and down the the curb as if they are drumming like the legendary Herb Alpert."
Dancing Chilcutt,"Elbow Plank w/alternating leg lifts in cadence. Great for the back, not so much for the elbows."
Dominoes,"Preferably performed in a parking lot with a row of curbs (can also be done on ground). Line up 1 or 2 PAX per curb down the parking lot, entire PAX side planks on curb with left hand high, starting at one end, first PAX rotates to regular plank position for set number of Merkins, first PAX then holds regular plank and next PAX rotates down for Merkins, and so on down the line. Once the entire PAX is in regular plank position, the entire PAX reverses and starts again with right hand high. Repeato as desired. When done properly the PAX should resemble dominoes slowly toppling over. Best for a larger PAX."
Empty Wheelbarrow,A belly up plank walk with someone holding your feet. Essentially a crabwalk with partner holding feet.
Floyd Mayweather – Plank Punch,"From a basic plank position, raise one hand off the ground and punch across, behind and under the opposite arm, keeping the core stabilized. Complete in cadence and switch to other arm. Add a small dumbbell or brick for an extra challenge. Can also be completed from a Knerkin Plank position."
FrankenSteinl,"The Steinl, only the routine is performed while wearing a Ruck sack or vest. Hold plank for 30 secs, then lower to forearm plank for 30 secs. Then 10 merkins IC. Then peter parker, mountain climber, parker peter with one leg. Should be outside elbow, then chest, then opposite elbow. 10 IC. Then 10 merkins IC. Return to plank and repeat. Flap jack with the PP's. Finish with merkins to complete 1 set."
Get Low,"Performed to the song Get Low by DJ Snake, hold the people's chair while the song says Get Low over and over again. When the Beat Drops do squats up and down in Cadence with the beat. The song will repeat and you can either repeat this or you can drop to a low plank. Hold the low point of a merkin while the song says Get Low for what seems like a ridiculously Long Time. When the Beat Drops do merkins, if you can. Good warm up to a ridiculous song"
Groiners,"Starting from a pushup/merkin position, thrust your feet forward, landing outside of each hand. Thrust backwards to original position. Repeato."
In the plank tonight,"Hold the plank position for the entirety of ""in the air tonight"" by Phil Collins."
